KK;113;1;2019-01-01;128;6;100000;600000
KL;114;2;2019-01-02;129;7;150000;1050000
KD;115;3;2019-01-03;130;8;200000;1600000
KDL;116;4;2019-01-04;131;1;155000;155000
KBK;115;5;2019-01-05;132;2;250000;500000
LTH;118;6;2019-01-06;133;3;300000;900000
KCL;140;7;2019-01-07;134;4;450000;1800000
KO;120;8;2019-01-08;135;5;350000;1750000
KP;121;9;2019-01-09;136;6;150000;900000
KS;140;10;2019-01-10;137;4;120000;480000
STR;122;11;2019-01-11;138;3;200000;600000
WL;122;12;2019-01-12;139;3;300000;900000
KB;125;13;2019-01-13;140;3;350000;1050000
KSF;126;14;2019-01-14;141;3;430000;1290000
KR;127;15;2019-01-15;142;7;250000;1750000
TWS;128;15;2019-01-16;143;6;150000;900000
JRS;129;15;2019-01-17;144;5;120000;600000
KRY;130;15;2019-01-18;145;5;500000;2500000
KV;140;15;2019-01-19;146;5;340000;1700000
KK01;140;15;2019-01-20;147;5;430000;2150000
KL01;140;15;2019-01-21;148;6;200000;1200000
KD01;140;15;2019-01-22;149;7;250000;1750000
KDL01;135;15;2019-01-23;150;8;130000;1040000
KBK01;136;24;2019-01-24;151;9;400000;3600000
LTH01;137;25;2019-01-25;152;10;300000;3000000
KCL01;138;26;2019-01-26;153;10;350000;3500000
KO01;140;27;2019-01-27;154;9;150000;1350000
KP01;140;28;2019-01-28;155;8;200000;1600000
KS01;141;29;2019-01-29;156;11;120000;1320000
STR01;140;30;2019-01-30;157;12;150000;1800000
